Client Name:	111111
Session Type:	2 Ch ILF.HD
Number of Channels:	2
Start Session:	26.01.2019	14:28:27
Time	Reward Frequency	Inhibit Percent	Feedback Selection	Reward Amplitude	Reward Threshold	Reward Percent	Inhibit 0.5-2.0 Ampl.	Inhibit 0.5-2.0 Thres.	Inhibit 2.0-4.5 Ampl.	Inhibit 2.0-4.5 Thres.	Inhibit 4.5-8.0 Ampl.	Inhibit 4.5-8.0 Thres.	Inhibit 8.0-12.0 Ampl.	Inhibit 8.0-12.0 Thres.	Inhibit 12.0-15.0 Ampl.	Inhibit 12.0-15.0 Thres.	Inhibit 15.0-18.0 Ampl.	Inhibit 15.0-18.0 Thres.	Inhibit 18.0-22.0 Ampl.	Inhibit 18.0-22.0 Thres.	Inhibit 22.0-30.0 Ampl.	Inhibit 22.0-30.0 Thres.	Inhibit 30.0-40.0 Ampl.	Inhibit 30.0-40.0 Thres.	Inhibit Percent Meas.	VLF(0-0.1)	Delta(1-3)	Theta(4-7)	Alpha(8-12)	Beta(13-18)	hi-Beta(20-40)	HR	GSR	Temp
14:28:35	0.0006	95.000	DreamScapes	0.2613	2.6304	0.0000	1307.7120	1796.0287	770.6858	919.2866	481.7854	654.0086	312.0954	470.1574	197.5241	260.7000	161.9380	211.1970	146.1288	225.2971	145.9151	320.3662	109.8712	223.4049	0.020	0.000	0.000	0.000	0.000	0.000	0.000	-2.2	-2.297	-2.24
14:28:36	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	950.3863	2151.3401	122.8116	2380.7268	25.2704	1627.9257	9.1865	1031.2026	10.7735	702.9929	24.2327	447.4507	3.6319	504.0343	0.6409	464.4807	0.6104	380.4597	13.333	0.000	0.000	0.000	0.000	0.000	0.000	-2.2	-2.289	-2.23
14:28:37	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	173.8712	835.2656	3.1741	326.0735	1.0377	154.1249	0.7020	66.7773	0.4578	60.6123	0.3968	101.8751	0.7630	29.4211	0.3662	7.2637	0.2442	7.7215	31.365	0.000	646.745	1.587	1.160	0.794	0.610	-2.2	-2.285	-2.22
14:28:38	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	35.4335	255.8779	2.1364	4.3948	0.7630	2.0143	0.8546	1.4955	0.3357	0.5799	0.3052	0.6104	0.6104	1.1292	0.6409	1.0072	0.3052	0.4883	44.288	0.000	306.663	1.770	0.946	0.702	0.519	-2.2	-2.283	-2.21
14:28:39	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	6.5618	132.3033	1.4649	3.8760	1.0072	1.8312	0.7935	2.1974	0.4273	0.6104	0.3357	0.6104	0.3357	1.4039	0.6104	1.4649	0.3052	0.4883	53.383	0.000	176.771	0.732	0.763	0.488	0.397	-2.1	-2.283	-2.21
14:28:40	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	1.2208	154.7659	1.9227	4.3643	0.9156	1.5260	0.6104	1.5870	0.4273	0.7020	0.3052	0.6714	0.3968	1.4039	0.5494	1.2513	0.3052	0.4578	59.443	0.000	94.398	0.824	0.519	0.366	0.275	-2.1	-2.284	-2.20
14:28:41	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	3.9676	108.0401	1.5870	3.5708	0.8546	1.7396	0.7020	1.5870	0.4273	0.7935	0.4273	0.5799	0.3662	1.0682	0.6104	1.1598	0.3968	0.6104	59.905	0.000	55.821	0.702	0.519	0.427	0.275	-2.1	-2.287	-2.20
14:28:42	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	6.9585	54.8441	1.6481	3.9371	1.1292	1.9227	1.0987	1.8007	0.3052	0.7935	0.3357	0.5494	0.3968	0.9156	0.4578	1.0987	0.3357	0.6104	64.216	0.000	30.489	0.732	0.794	0.275	0.244	-2.1	-2.290	-2.20
14:28:43	0.0006	95.000	DreamScapes	0.0000	0.0000	0.0000	4.1812	25.7892	0.8851	3.5403	1.0377	1.8617	0.5188	1.5870	0.2747	0.7325	0.2442	0.6409	0.3052	0.8546	0.7630	1.2818	0.3357	0.6104	67.807	0.000	22.279	0.549	0.366	0.275	0.275	-2.1	-2.294	-2.20
14:28:44	0.0006	95.000	DreamScapes	654.0105	1177.2208	0.0000	1.4955	25.5145	1.0987	3.3877	0.7630	1.7701	0.6104	1.6481	0.3357	0.7630	0.3357	0.7325	0.5799	0.8851	0.6409	1.3734	0.3662	0.6409	70.441	0.000	11.964	0.549	0.336	0.275	0.336	-2.1	-2.300	-2.21
14:28:45	0.0006	95.000	DreamScapes	965.9285	1742.6400	0.0000	1.1292	22.0048	1.0377	3.2656	0.9766	1.8922	0.4578	1.5870	0.2747	0.6714	0.4273	0.6409	0.4273	0.8240	0.5799	1.2513	0.2747	0.6104	72.862	0.000	4.853	0.732	0.336	0.366	0.244	-2.1	-2.305	-2.21
14:28:46	0.0006	95.000	DreamScapes	970.3844	1787.8016	0.0000	3.8760	20.7535	1.8922	3.5708	1.0987	1.9533	1.0682	1.6481	0.3662	0.7630	0.2747	0.6409	0.3968	0.8240	0.6104	1.1292	0.2442	0.6104	74.894	1.099	3.510	0.671	0.458	0.183	0.244	-2.1	-2.311	-2.21
14:28:47	0.0006	95.000	DreamScapes	970.2051	1787.8016	0.0000	2.9909	18.0982	1.4955	3.6624	1.3734	1.8922	0.6714	1.6786	0.1831	0.7630	0.3052	0.6104	0.4883	0.9461	0.3968	1.1903	0.2747	0.4578	76.720	13.581	3.052	1.129	0.519	0.183	0.214	-2.1	-2.317	-2.22
14:28:48	0.0006	95.000	DreamScapes	969.9724	1787.8016	0.0000	2.2890	16.9690	1.8312	3.4793	1.6786	2.0448	0.8851	1.6481	0.5188	0.8546	0.3662	0.6714	0.3662	0.8546	0.5494	1.1903	0.2747	0.4883	76.171	44.864	2.869	1.007	0.488	0.336	0.214	-2.1	-2.322	-2.22
14:28:49	0.0006	95.000	DreamScapes	969.6233	1787.8016	0.0000	1.6786	16.1755	1.4955	3.7234	0.8546	2.0143	0.8546	1.7396	0.7020	0.8851	0.5799	0.6409	0.7630	1.0377	0.7630	1.1598	0.3052	0.4578	72.953	100.227	4.242	1.068	0.671	0.458	0.366	-2.1	-2.328	-2.22
