Client Name:	111111
Session Type:	2 Ch ILF.HD
Number of Channels:	2
Start Session:	
Time	Reward Frequency	Inhibit Percent	Feedback Selection	Reward Amplitude	Reward Threshold	Reward Percent	Inhibit 0.5-2.0 Ampl.	Inhibit 0.5-2.0 Thres.	Inhibit 2.0-4.5 Ampl.	Inhibit 2.0-4.5 Thres.	Inhibit 4.5-8.0 Ampl.	Inhibit 4.5-8.0 Thres.	Inhibit 8.0-12.0 Ampl.	Inhibit 8.0-12.0 Thres.	Inhibit 12.0-15.0 Ampl.	Inhibit 12.0-15.0 Thres.	Inhibit 15.0-18.0 Ampl.	Inhibit 15.0-18.0 Thres.	Inhibit 18.0-22.0 Ampl.	Inhibit 18.0-22.0 Thres.	Inhibit 22.0-30.0 Ampl.	Inhibit 22.0-30.0 Thres.	Inhibit 30.0-40.0 Ampl.	Inhibit 30.0-40.0 Thres.	Inhibit Percent Meas.	VLF(0-0.1)	Delta(1-3)	Theta(4-7)	Alpha(8-12)	Beta(13-18)	hi-Beta(20-40)	HR	GSR	Temp
19:30:57	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0	0.000	0.00
19:30:58	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	null	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0	0.000	0.00
19:30:59	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	30.9165	23.8970	36.9289	32.6562	29.7263	17.6099	22.0048	15.6567	10.8345	8.3014	8.6981	6.5618	10.4378	8.0267	15.9924	11.3839	10.8956	8.1183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.282	0.35
19:31:00	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	1440.9919	4776.9272	710.5007	2901.7913	364.0096	1798.4397	222.4588	1225.5222	149.9132	747.4907	117.7148	446.4435	99.4640	582.3176	82.6476	652.1774	62.1078	464.0840	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.2	0.200	0.28
19:31:01	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	1055.4049	2974.7944	66.0143	1688.2938	8.1793	732.5360	2.7773	353.1750	4.2423	327.4163	6.3481	399.6261	2.2890	145.2742	1.8007	67.1741	1.1903	63.2980	2.220	0.000	0.000	0.000	0.000	0.000	0.000	0.1	0.131	0.23
19:31:02	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	210.2203	596.2346	3.4793	8.3929	3.0825	4.8221	1.7701	2.1974	1.0072	2.2279	1.0072	1.2208	1.4039	3.8455	1.2513	3.2351	1.2513	2.0753	9.036	0.000	1352.332	2.472	1.862	1.465	1.129	0.0	0.070	0.18
19:31:03	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	42.4225	820.4330	3.6013	7.3553	2.0753	5.6767	2.8383	3.6624	0.9461	2.0448	0.9156	1.2513	1.6481	3.2046	1.7396	3.4793	1.0377	2.0753	17.462	0.000	738.945	1.373	1.251	1.160	0.946	-0.0	0.014	0.14
19:31:04	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	13.7644	477.9705	2.5026	7.5384	2.0753	5.4020	1.7701	4.7306	1.8312	2.5026	1.0072	1.1903	1.1598	3.3572	1.4649	2.7468	0.8240	2.0753	25.163	0.000	420.166	1.068	1.282	0.885	0.671	-0.1	-0.036	0.09
19:31:05	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	3.2961	295.1569	1.6175	7.6910	2.5637	5.8293	1.7701	3.7539	0.8851	2.8383	0.9461	1.2513	2.3500	3.7845	2.1669	3.3267	0.8851	1.8617	30.806	0.000	236.528	0.824	0.763	0.916	0.794	-0.2	-0.084	0.06
19:31:06	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	5.8903	245.8064	3.5708	7.2637	2.5331	6.1040	1.7091	3.6624	0.7935	2.5026	0.6104	1.3429	1.1292	3.8150	1.4955	3.3267	0.8546	1.8617	36.658	0.000	134.653	0.732	0.946	0.519	0.732	-0.3	-0.129	0.02
19:31:07	0.0006	95.000	DreamScapes	4.9995	50.0010	0.0000	2.2890	173.5050	2.8078	7.5079	1.2818	6.6228	1.6481	3.3267	1.5565	3.1130	0.6714	1.4955	1.4344	3.4182	1.9227	3.7234	0.7630	1.7091	41.701	0.000	73.949	0.641	0.702	0.580	0.732	-0.3	-0.172	-0.02
19:31:08	0.0006	95.000	DreamScapes	4.7668	50.0010	0.0000	2.8994	89.5451	2.1364	6.9280	1.9533	5.8293	1.2513	3.1435	1.1598	2.7163	1.0377	1.5260	1.2513	3.2046	2.1364	3.6624	1.0377	1.7091	46.208	3.052	40.866	0.855	0.580	0.794	0.641	-0.4	-0.213	-0.05
19:31:09	0.0006	95.000	DreamScapes	3.7368	50.0010	0.0000	5.4936	66.6857	4.7000	7.0196	3.8455	6.1955	1.5260	3.0520	0.6104	2.6857	0.7325	1.5260	1.1598	2.8078	1.7396	3.7234	0.6409	1.7396	47.949	52.311	23.805	0.427	0.427	0.549	0.732	-0.4	-0.251	-0.09
19:31:10	0.0006	95.000	DreamScapes	2.4626	50.0010	0.0000	5.5851	42.7887	2.7163	6.8364	2.8689	6.7754	1.4344	3.0215	1.5260	2.9604	1.0682	1.4955	1.7091	2.8383	1.4344	3.6319	0.7630	1.6786	51.328	211.594	15.138	1.251	0.519	0.855	0.794	-0.5	-0.289	-0.12
19:31:11	0.0006	95.000	DreamScapes	0.9881	50.0010	0.0000	2.5026	32.0153	1.7396	6.4397	2.1059	6.4092	0.8851	3.1741	0.5799	2.9604	0.9156	1.4039	1.8312	3.1130	1.9533	3.5708	0.8240	1.5565	54.404	506.598	6.470	0.702	0.397	0.549	0.794	-0.5	-0.325	-0.15
19:31:12	0.0006	95.000	DreamScapes	-0.5398	50.0010	0.0000	3.4182	26.0944	1.8617	5.8903	2.3195	6.2566	3.1435	3.3267	0.4578	2.8383	0.9461	1.4649	1.1292	3.0825	1.3124	3.6624	0.7935	1.5870	54.261	904.851	4.792	0.641	0.824	0.427	0.580	-0.6	-0.359	-0.19
19:31:13	0.0006	95.000	DreamScapes	-2.1936	50.0010	0.0000	2.8994	23.4087	1.8007	5.6767	1.4344	5.9514	1.7396	3.4487	1.5260	3.0215	1.3734	1.4344	1.2208	2.8689	2.1059	3.6624	0.8240	1.6481	54.518	1335.729	3.357	0.580	0.824	0.641	0.610	-0.6	-0.393	-0.22
19:31:14	0.0006	95.000	DreamScapes	-4.0057	50.0010	0.0000	3.0215	21.4554	2.5026	5.6156	2.7773	5.6767	2.0753	3.7234	1.2818	2.9604	1.4344	1.4649	1.5870	2.8383	1.9227	3.7539	0.7630	1.5565	54.176	1733.341	4.181	1.099	0.610	0.641	0.824	-0.7	-0.425	-0.25
19:31:15	0.0006	95.000	DreamScapes	-5.9838	50.0010	0.0000	4.3338	19.2275	2.2585	5.6767	2.5026	5.4020	1.9227	3.7234	1.0682	2.8383	1.3429	1.6481	1.8312	2.8383	1.7396	3.6013	0.7630	1.5260	55.064	2057.400	4.547	1.007	0.580	0.549	0.671	-0.7	-0.456	-0.28
19:31:16	0.0006	95.000	DreamScapes	-8.2518	50.0010	0.0000	2.4721	16.9080	2.8078	5.6462	2.1974	5.1884	2.0143	3.6929	0.8546	2.8078	0.8851	1.7396	1.2513	2.8383	1.4955	3.6013	0.9766	1.6175	57.160	2319.779	3.784	0.580	0.794	0.549	0.641	-0.8	-0.487	-0.30
19:31:17	0.0006	95.000	DreamScapes	-10.6381	50.0010	0.0000	3.0520	16.5722	2.8078	5.6156	2.5637	5.1273	2.3195	3.6624	1.3124	2.8689	0.6714	1.7396	1.0682	2.7773	1.4344	3.6319	1.1903	1.6481	58.354	2525.482	1.465	1.007	0.336	0.549	0.610	-0.8	-0.516	-0.33
19:31:18	0.0006	95.000	DreamScapes	-15.1874	30.6457	0.0000	2.1059	15.9619	3.3267	5.6156	2.2585	5.1884	2.2890	3.8760	1.4344	2.7773	1.2208	1.8617	1.2818	2.8383	1.0682	3.6013	0.6409	1.6481	60.057	2716.292	3.571	1.221	0.885	0.671	0.549	-0.9	-0.542	-0.36
19:31:19	0.0006	95.000	DreamScapes	-20.9022	0.0000	0.0000	4.0897	15.5956	3.4487	5.6462	1.8617	5.1273	1.3429	3.7845	1.3734	2.6857	0.6714	1.8617	1.0987	2.7468	1.5260	3.5708	0.5188	1.6481	61.231	2909.513	3.510	1.160	0.549	0.641	0.549	-0.9	-0.566	-0.38
19:31:20	0.0006	95.000	DreamScapes	-23.8283	0.0000	0.0000	3.0825	15.7177	2.1059	5.7072	1.2818	5.1884	1.6175	3.6929	0.9156	2.8689	0.8546	1.8922	1.4344	2.8078	1.7396	3.6013	0.9461	1.5870	62.762	3129.896	4.334	0.824	0.885	0.397	0.763	-0.9	-0.588	-0.41
19:31:21	0.0006	95.000	DreamScapes	-26.7983	0.0000	0.0000	3.5708	14.8021	3.2656	5.7682	2.6247	4.9747	2.2585	3.7845	1.5870	2.6247	1.3124	1.8922	1.2208	2.8078	1.7091	3.5098	0.7935	1.6481	64.127	3362.060	1.526	0.732	0.732	0.855	0.641	-1.0	-0.610	-0.43
19:31:22	0.0006	95.000	DreamScapes	-29.8579	0.0000	0.0000	7.5994	16.0229	4.5474	6.0734	2.5331	5.0968	2.2279	3.8150	1.3124	2.6247	1.0377	1.8922	1.4039	2.8078	1.7701	3.4487	0.9461	1.6481	65.211	3594.682	3.418	1.434	0.946	0.946	0.732	-1.0	-0.631	-0.46
19:31:23	0.0006	95.000	DreamScapes	-33.1540	0.0000	0.0000	3.5098	15.7482	3.7845	6.4092	3.2961	5.0968	1.6481	3.8760	1.1903	2.4721	1.1598	1.9227	0.8851	2.8078	1.4955	3.3267	0.8851	1.6481	66.429	3821.597	3.571	1.068	0.824	0.794	0.641	-1.0	-0.651	-0.48
19:31:24	0.0006	95.000	DreamScapes	-36.3186	0.0000	0.0000	4.2728	14.7716	2.3500	6.3481	1.4344	5.1884	1.1598	3.7845	0.7935	2.5637	0.8240	1.9838	0.8851	2.7468	1.3734	3.4182	0.9766	1.6481	67.510	4024.218	4.090	0.824	0.397	0.488	0.763	-1.1	-0.672	-0.51
19:31:25	0.0006	95.000	DreamScapes	-39.8226	0.0000	0.0000	7.7215	14.8631	3.2961	6.2566	2.0143	5.2799	1.2818	3.8150	1.3124	2.5637	1.4955	1.9838	1.1903	2.7468	2.1364	3.3267	0.9766	1.6481	68.124	4217.011	1.679	0.946	0.366	0.580	0.855	-1.1	-0.692	-0.53
19:31:26	0.0006	95.000	DreamScapes	-43.4487	0.0000	0.0000	7.9046	15.2294	2.4721	6.3481	2.2585	5.1578	1.8007	3.8455	1.2208	2.5637	1.3124	2.0448	2.4416	2.8689	2.1059	3.5403	0.8851	1.6481	67.882	4387.495	1.740	0.855	0.580	0.702	0.946	-1.1	-0.711	-0.55
19:31:27	0.0006	95.000	DreamScapes	410.2299	761.4230	0.0000	3.4487	15.2904	3.3267	6.3481	2.6247	5.1884	1.6175	3.8150	1.0682	2.5637	0.9156	2.0448	1.4039	2.8689	1.5565	3.3877	1.1292	1.6481	68.857	4545.465	1.434	1.099	0.702	0.671	0.763	-1.1	-0.730	-0.58
19:31:28	0.0006	95.000	DreamScapes	962.0659	1737.8026	0.0000	5.4936	15.3820	2.9604	6.3176	2.5331	5.1578	2.0448	3.7845	1.1598	2.4416	1.1598	2.0448	1.6786	2.9909	1.8007	3.2961	0.8546	1.6786	69.735	4696.690	1.984	0.916	0.732	0.549	0.824	-1.2	-0.750	-0.60
19:31:29	0.0006	95.000	DreamScapes	958.1498	1737.8026	0.0000	6.3786	15.3820	3.1741	6.4092	1.9227	5.0968	2.1669	3.9065	0.7935	2.4416	1.1598	1.9533	1.7091	2.8994	1.8312	3.2351	0.8240	1.7091	70.608	4852.494	1.740	0.580	1.312	0.732	0.763	-1.2	-0.770	-0.62
19:31:30	0.0006	95.000	DreamScapes	954.2184	1737.8026	0.0000	4.8221	15.0768	3.6929	6.3176	4.4864	5.2494	1.7701	3.9371	1.1292	2.4416	1.1292	1.9838	1.6175	2.8689	1.1903	3.2656	0.8240	1.6786	70.352	5004.788	2.594	1.068	0.824	0.946	0.824	-1.2	-0.790	-0.64
