Client Name:	3658
Session Type:	Alpha Theta 2Ch
Number of Channels:	2
Start Session:	
Time	Alpha Reward Frequency	Theta Reward Frequency	Feedback Crossover	Dominant Frequency	Reward Amplitude	Reward Threshold	Reward Percent	Reward Amplitude	Reward Threshold	Reward Percent	Inhibit 2-5 Amplitude	Inhibit 2-5 Threshold	Inhibit 2-5 Percent	Inhibit 15-30 Amplitude	Inhibit 15-30 Threshold	Inhibit 15-30 Percent	HR	GSR	Temp
09:57:27	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:28	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:41	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:42	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:43	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:44	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:45	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:46	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:47	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:48	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:49	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:57:51	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000	null	null	0.0000		0.0	0.000	0.00
09:58:02	10.0000	7.0000	0.0000	4.0000	null	null	0.0000	null	null	0.0000	null	null	0.0900	null	null	0.0900		-0.8	-0.854	-0.79
09:58:03	10.0000	7.0000	0.0000	4.0000	70.5618	40.5303	0.5100	102.3939	59.0863	0.5100	207.2904	190.5656	0.4800	67.2961	78.4053	0.2500		-0.7	-0.827	-0.76
09:58:04	10.0000	7.0000	0.0000	4.0000	33.6023	88.3243	0.0900	48.2518	127.7864	0.0900	123.4220	362.8803	0.1200	11.7196	110.5732	0.0000		-0.7	-0.827	-0.75
09:58:05	10.0000	7.0000	0.0000	4.0930	5.4630	18.0067	0.0000	5.6767	24.9042	0.0000	6.4092	361.1407	0.0000	6.5312	99.7387	0.0000		-0.8	-0.832	-0.75
09:58:06	10.0000	7.0000	0.0000	4.9460	7.9657	8.0877	0.4500	6.2871	9.5222	0.0900	12.8794	359.1569	0.0000	11.2313	92.5055	0.0000		-0.8	-0.840	-0.76
09:58:07	10.0000	7.0000	0.0000	5.5960	9.6443	8.5455	0.5800	13.1845	9.8884	0.6400	42.6972	345.6061	0.0000	14.5885	81.6404	0.0000		-0.8	-0.851	-0.77
09:58:08	10.0000	7.0000	0.0000	5.6400	7.0806	8.5761	0.3500	4.6390	9.2475	0.0000	15.5651	331.8417	0.0000	7.9046	70.6838	0.0000		-0.8	-0.862	-0.77
09:58:09	10.0000	7.0000	0.0000	5.8430	14.9242	8.9728	0.8000	22.5541	9.0644	0.8300	66.2890	314.7811	0.0000	10.9871	65.4039	0.0000		-0.8	-0.872	-0.78
09:58:10	10.0000	7.0000	0.0000	5.7210	6.5923	8.8507	0.0000	24.3548	11.8112	0.8300	62.3825	297.1102	0.0000	12.4216	62.4740	0.0000		-0.8	-0.885	-0.79
09:58:11	10.0000	7.0000	0.0000	5.6380	7.6910	8.5761	0.2500	10.9871	11.9943	0.0000	23.5308	273.2742	0.0000	7.5384	62.3519	0.0000		-0.9	-0.900	-0.81
09:58:12	10.0000	7.0000	0.0000	5.5570	9.3085	8.5761	0.5100	8.0877	11.2313	0.0000	11.6891	253.6500	0.0000	5.0968	61.1922	0.0000		-0.9	-0.913	-0.82
09:58:13	10.0000	7.0000	0.0000	5.7700	5.2799	8.4845	0.1600	5.5241	10.8956	0.0000	16.9385	248.4616	0.0000	4.1202	38.2718	0.0000		-0.9	-0.927	-0.83
09:58:14	10.0000	7.0000	0.0000	5.9800	6.2871	8.3319	0.0600	3.3267	10.4378	0.0000	9.0033	229.4173	0.0000	4.8526	23.3476	0.0000		-0.9	-0.942	-0.84
09:58:15	10.0000	7.0000	0.0000	6.5850	7.3858	8.1488	0.3800	5.4020	9.7358	0.0000	6.7144	191.9695	0.0000	5.4020	22.7983	0.0000		-0.9	-0.961	-0.86
09:58:16	10.0000	7.0000	0.0000	6.7900	7.5079	8.0572	0.2900	7.2027	9.1254	0.0600	13.2456	129.1903	0.0000	3.8455	22.5236	0.0000		-0.9	-0.972	-0.87
09:58:17	10.0000	7.0000	0.0000	6.8600	13.7034	8.2098	0.9300	7.9046	9.1559	0.4500	11.0482	94.0010	0.0000	6.6838	22.3710	0.0000		-1.0	-0.982	-0.88
09:58:18	10.0000	7.0000	0.0000	7.2100	5.8598	8.2709	0.2200	4.2423	8.9118	0.0000	5.3104	88.3548	0.0000	4.8832	21.7606	0.0000		-1.0	-0.998	-0.89
09:58:19	10.0000	7.0000	0.0000	7.5500	10.9566	8.3014	0.7700	4.5780	8.6371	0.0000	6.9280	87.0730	0.0000	6.3176	19.8684	0.0000		-1.0	-1.012	-0.91
09:58:20	10.0000	7.0000	0.0000	8.1150	5.8903	8.3014	0.0300	5.0968	8.2098	0.0000	7.6910	85.8827	0.0000	5.4936	19.1359	0.0000		-1.0	-1.027	-0.92
